SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE
METAL,2026-08-28,13.6,Bullish,71.35,80.9,5,75,5/10,Medium,64.71,0.35,2.57,7.5,13.28,13.08,12.24,0.034,-0.0012,0.61,20.0,13.3,2.24,1.03,0.8,0.29,2.33,3.66,5.92,0.66,57.67,13.79,13.42,13.56,13.8,13.01,51.98,41.37,1.1,-1.19,0.84,38.46,6.86,2.25,-2.63,97.22,8,6,13,69.23,0.37,53.85,0.08,84.62,0.77,76.92,1.06,84.62,2.43,STRONG,78.86,STRONG,Trend + Momentum + VWAP + RSI,None material,0.9,3.85,13.72,14.12,13.3,MODERATE,31289413.0,NOT_AVAILABLE,NOT_AVAILABLE,
HYUNDAI,2026-08-28,2267.0,Bullish,77.62,80.82,8,90,8/10,High,68.52,48.45,2.14,0.83,2194.0,2104.01,2055.21,-2.4658,1.055,1.2,75.83,2220.48,2.09,1.72,0.884,0.62,2.17,3.09,3.96,-0.19,56.54,2281.0,2247.0,2253.0,2281.0,2190.0,48.09,48.73,1.47,-1.32,-0.02,5.93,7.2,1.97,-1.94,72.91,7,8,39,51.28,0.44,58.97,1.34,56.41,1.0,74.36,3.18,76.92,3.48,POSITIVE,77.49,STRONG,Trend + Momentum + Volume + Structure,None material,0.75,3.21,2283.96,2339.67,2220.48,MODERATE,1587242920.0,NOT_AVAILABLE,NOT_AVAILABLE,
SILVERBEES,2026-08-28,230.42,Bullish,73.87,79.69,6,80,6/10,Medium,60.38,4.91,2.13,15.83,223.25,221.32,212.01,0.8404,-0.0896,1.02,75.0,222.5,3.56,2.83,0.864,1.79,-1.07,4.16,11.58,-0.04,36.88,228.98,223.76,226.37,234.28,223.76,51.71,43.29,1.63,-1.5,0.26,22.37,12.76,2.34,-2.43,35.78,8,8,13,38.46,0.46,69.23,1.71,53.85,1.65,84.62,2.39,84.62,4.2,MIXED,79.62,STRONG,Trend + Momentum + Structure + VWAP,None material,0.75,3.19,232.14,237.78,222.5,MODERATE,5812659149.0,NOT_AVAILABLE,NOT_AVAILABLE,
LALPATHLAB,2026-08-28,1931.1,Bullish,74.57,79.67,4,70,5/10,Medium,61.94,48.8,2.53,0.83,1895.34,1811.66,1861.82,-6.6561,0.7313,0.37,20.83,1914.64,0.86,1.59,0.541,-0.27,1.95,0.77,1.36,0.11,60.3,1948.8,1908.6,1936.4,1948.8,1875.1,47.63,48.16,1.41,-1.36,-0.0,7.11,5.79,1.59,-3.02,92.0,6,7,10,60.0,0.32,70.0,-0.0,80.0,2.63,90.0,4.63,100.0,7.59,STRONG,94.5,STRONG,Trend + Momentum + VWAP + RSI,Delivery,0.88,3.79,1948.18,2004.3,1908.6,MODERATE,475183183.0,NOT_AVAILABLE,NOT_AVAILABLE,
HAPPYFORGE,2026-08-28,2307.0,Bullish,77.77,79.47,7,85,7/10,High,74.64,81.8,3.55,29.17,2082.03,1843.92,1443.44,2.0346,0.3755,0.34,8.33,2023.03,14.04,2.26,0.954,2.5,4.3,10.4,39.59,0.94,59.1,2279.0,2188.9,2250.8,2318.1,2107.3,46.94,49.13,1.6,-1.25,0.19,16.62,11.22,1.82,-1.77,90.09,8,8,100,53.0,0.35,60.0,1.1,64.0,1.78,77.0,3.96,77.0,5.41,POSITIVE,84.35,STRONG,Trend + Momentum + Structure + VWAP,None material,1.24,5.32,2335.63,2429.7,2023.03,HIGH,303437568.0,NOT_AVAILABLE,NOT_AVAILABLE,
SAILIFE,2026-08-28,1485.0,Bullish,72.27,78.89,6,80,6/10,Medium,65.58,41.83,2.82,5.83,1424.7,1341.19,1121.41,-1.1297,0.2213,0.43,10.83,1425.98,4.14,2.18,0.889,-0.22,1.89,2.42,12.92,0.11,47.65,1498.1,1458.1,1488.2,1498.1,1420.3,50.69,46.06,1.88,-1.68,0.12,9.72,10.19,1.95,-2.02,81.1,7,5,9,33.33,-0.45,33.33,-0.68,66.67,-0.07,88.89,1.47,66.67,0.72,MIXED,75.05,STRONG,Trend + Momentum + Structure + VWAP,None material,0.99,4.23,1499.64,1547.75,1425.98,MODERATE,766285890.0,NOT_AVAILABLE,NOT_AVAILABLE,
BLSE,2026-08-28,326.25,Bullish,78.55,78.71,8,90,8/10,High,66.23,11.74,3.6,17.5,310.57,285.9,227.71,-1.5535,0.621,1.18,76.67,315.27,3.48,5.06,0.932,3.88,1.67,3.82,8.51,-0.02,52.05,321.8,302.4,314.05,327.8,302.4,42.31,53.58,2.32,-1.79,0.29,19.63,9.59,1.96,-2.19,85.35,6,8,76,61.84,0.7,63.16,1.18,61.84,1.77,67.11,3.81,75.0,5.56,POSITIVE,80.13,STRONG,Trend + Momentum + Volume + Structure,None material,1.26,5.4,330.36,343.86,302.4,HIGH,170986010.0,NOT_AVAILABLE,NOT_AVAILABLE,
FEDFINA,2026-08-28,158.94,Bullish,74.31,78.68,5,75,5/10,Medium,58.6,4.52,2.84,3.33,155.1,153.84,146.9,0.9045,-0.0674,0.64,40.0,153.66,3.43,3.75,0.717,0.63,1.34,5.35,3.32,-0.6,46.63,160.5,157.02,157.94,163.25,154.01,42.7,53.05,1.8,-1.37,0.38,19.72,6.81,1.92,-2.47,87.13,6,7,10,30.0,0.3,60.0,1.24,80.0,1.56,80.0,2.52,60.0,2.83,STRONG,87.32,STRONG,Trend + Momentum + VWAP + RSI,None material,0.99,4.26,160.52,165.72,153.66,MODERATE,144911121.0,NOT_AVAILABLE,NOT_AVAILABLE,
SBC,2026-08-28,41.93,Bullish,75.11,78.6,7,85,7/10,High,63.21,1.32,3.14,63.33,40.49,40.26,34.63,0.2368,0.1031,0.61,14.17,40.17,4.37,1.98,0.936,1.16,4.56,8.63,-0.19,0.48,27.66,41.98,39.85,41.45,41.98,39.71,48.95,44.87,1.84,-1.7,0.37,20.53,5.39,2.04,-3.54,84.27,8,7,100,49.0,0.29,59.0,0.55,65.0,0.96,76.0,2.14,79.0,3.17,STRONG,76.75,STRONG,Trend + Momentum + Structure + VWAP,None material,1.1,4.71,42.39,43.91,39.85,HIGH,378320305.0,NOT_AVAILABLE,NOT_AVAILABLE,
MCX,2026-08-28,3332.0,Bullish,76.12,78.46,5,75,5/10,Medium,70.45,97.41,2.92,0.83,3057.98,2941.86,3811.25,43.4965,-4.1518,0.47,8.33,2960.96,12.53,2.87,0.962,1.8,4.62,14.44,23.76,0.0,36.93,3362.0,3270.8,3273.0,3362.0,3132.0,52.37,43.42,2.1,-2.03,0.11,9.47,6.97,2.11,-3.98,78.43,10,7,14,50.0,1.07,71.43,2.03,78.57,3.4,85.71,7.08,85.71,10.19,STRONG,92.5,STRONG,Trend + Momentum + Structure + VWAP,None material,1.02,4.39,3366.09,3478.11,2960.96,MODERATE,8618326327.0,NOT_AVAILABLE,NOT_AVAILABLE,
