POSITION_RANK,SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE,IN_NEXT_DAY,IN_SWING,OVERLAP,POSITION_SCORE,TRADE_MODE,POSITION_ACTION
1340,VARROC,2026-08-28,821.85,Neutral-Range,56.4,56.25,2,60,4/10,Low,69.73,29.59,3.6,60.0,792.99,726.71,622.66,-6.7006,-0.0804,0.16,4.17,806.07,1.96,3.22,0.738,1.07,0.85,-3.07,21.0,-0.26,38.83,840.8,806.3,813.15,845.0,795.6,48.29,47.37,1.94,-1.75,0.15,10.79,7.11,1.79,-2.05,89.04,8,8,100,41.0,-0.16,43.0,0.18,40.0,0.46,58.0,1.07,44.0,1.15,MIXED,55.42,MIXED,Trend + VWAP + RSI + Liquidity,"Momentum, MACD",-3.6,3.6,792.26,851.44,813.15,HIGH,955272115.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.15,WATCH,WATCH
1341,SPIC,2026-08-28,69.09,Neutral-Range,54.52,52.58,2,60,3/10,Low,55.91,1.54,2.23,11.67,68.35,68.07,71.88,0.2388,-0.073,0.48,7.5,69.0,0.14,1.22,0.423,-0.53,1.36,2.08,3.94,-0.17,50.58,70.6,69.06,69.46,73.3,67.61,44.61,50.79,2.06,-1.76,0.27,11.58,5.79,2.01,-2.07,74.8,6,19,100,42.0,-0.08,44.0,0.06,44.0,0.1,49.0,0.53,50.0,0.54,MIXED,50.07,MIXED,Trend + Momentum + RSI,Delivery,-2.23,2.23,67.55,70.63,69.46,MODERATE,30798591.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.15,WATCH,WATCH
1342,SJLOGISTIC,2026-08-28,334.35,Bullish,60.4,53.33,4,70,4/10,Low,52.09,16.43,4.92,37.5,332.25,328.37,338.81,1.1898,-0.86,0.78,44.17,333.14,0.36,6.31,0.564,0.78,-5.43,5.72,10.44,-0.23,79.71,340.45,330.0,331.75,366.7,323.55,44.63,51.47,3.16,-2.39,0.61,33.71,12.7,2.72,-2.79,79.01,7,6,100,40.0,0.13,46.0,0.42,48.0,0.21,47.0,1.23,53.0,2.55,MIXED,54.01,MIXED,Trend + Momentum + RSI + Delivery,None material,1.72,7.37,340.1,359.0,330.0,HIGH,22037482.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.12,WATCH,WATCH
1343,ANANTRAJ,2026-08-28,606.15,Neutral-Range,49.1,49.22,-2,40,3/10,Low,47.84,16.7,2.75,0.83,613.53,592.68,555.73,-4.6978,-0.1025,0.37,7.5,622.14,-2.57,1.44,0.231,0.15,-3.02,-3.78,-2.94,0.0,41.4,610.75,603.0,605.25,642.95,598.25,49.47,45.79,2.27,-2.06,0.33,14.74,7.5,2.4,-2.57,74.08,10,8,17,52.94,-1.13,41.18,-0.89,47.06,-0.15,70.59,1.18,41.18,-0.12,MIXED,60.3,POSITIVE,Liquidity,"Momentum, VWAP, MACD",-2.75,2.75,589.45,622.85,605.25,MODERATE,1027894741.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.07,WATCH,WATCH
1344,ABCAPITAL,2026-08-28,405.55,Neutral-Range,47.24,49.99,-3,35,4/10,Low,50.06,9.07,2.24,0.83,407.0,398.02,356.95,-0.5817,-0.2837,0.34,5.83,412.28,-1.63,1.35,0.318,-1.09,-1.8,1.13,0.31,-0.04,45.96,413.1,408.1,410.0,416.45,405.3,48.16,47.37,1.67,-1.43,0.21,9.87,5.66,1.85,-2.05,69.49,8,7,17,58.82,0.85,47.06,0.8,52.94,0.78,58.82,1.04,64.71,1.77,MIXED,61.4,POSITIVE,Liquidity,"Momentum, Structure, VWAP",-2.24,2.24,396.48,414.62,410.0,MODERATE,1456112844.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.02,WATCH,WATCH
1345,EICHERMOT,2026-08-28,8059.0,Neutral-Range,48.42,55.43,0,50,3/10,Low,59.42,126.6,1.57,1.67,7984.0,7778.52,7275.98,-16.8005,-0.8201,0.89,59.17,8023.13,0.45,1.69,0.661,-0.51,0.61,-0.09,2.88,0.49,56.48,8105.5,7987.0,8100.0,8112.5,7970.0,48.29,47.37,1.28,-1.03,0.08,6.45,5.26,2.03,-1.84,69.92,7,8,12,25.0,-0.33,41.67,-0.08,50.0,0.01,50.0,-1.14,58.33,0.26,MIXED,45.48,MIXED,Trend + RSI + Liquidity,"Momentum, MACD, Delivery",-1.57,1.57,7932.4,8185.6,8100.0,LOW,3039824828.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.02,WATCH,WATCH
1346,LOWVOL1,2026-08-28,21.29,Neutral-Range,45.78,48.23,-3,35,3/10,Low,47.39,0.32,1.49,0.83,21.39,21.24,20.99,-0.0479,0.0042,0.03,1.67,21.47,-0.82,0.94,0.137,-0.19,-0.33,-1.34,-1.75,0.05,59.26,21.38,21.2,21.33,21.46,21.13,48.24,44.73,0.65,-0.64,0.18,21.41,13.42,2.1,-2.08,98.26,9,6,100,49.0,-0.07,51.0,-0.03,62.0,0.15,56.0,0.08,50.0,-0.16,POSITIVE,57.22,POSITIVE,No strong driver,"Structure, VWAP, Delivery",-1.49,1.49,20.97,21.61,21.33,LOW,11131610.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,50.01,WATCH,WATCH
1347,JYOTICNC,2026-08-28,1039.4,Bullish,58.21,60.03,4,70,4/10,Low,79.47,35.91,3.45,4.17,922.68,847.9,827.97,14.4857,-0.4871,0.55,43.33,887.55,17.11,3.25,0.972,0.93,5.12,25.7,28.54,0.0,43.99,1040.5,1009.0,1029.8,1040.5,947.95,47.32,48.66,2.57,-2.13,0.26,17.56,8.63,2.12,-2.88,83.94,7,7,72,44.44,-0.18,48.61,-0.04,48.61,-0.33,50.0,-0.11,54.17,-0.35,MIXED,47.75,MIXED,Trend + Structure + VWAP + Liquidity,None material,1.21,5.18,1051.97,1093.26,887.55,HIGH,1413543257.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,49.91,WATCH,WATCH
1348,KAYA,2026-08-28,327.35,Neutral-Range,56.58,49.92,-2,40,4/10,Low,55.4,20.72,6.33,81.67,322.46,293.5,301.79,-0.5711,-2.4244,0.16,5.0,331.17,-1.15,4.68,0.505,-2.06,-14.36,10.27,18.72,0.0,,352.0,334.25,334.25,393.0,334.25,40.79,54.47,2.75,-1.98,0.39,30.66,16.71,2.42,-2.17,83.49,8,10,9,66.67,0.6,55.56,2.36,66.67,4.03,66.67,3.0,66.67,3.95,STRONG,81.67,STRONG,Trend + RSI,"Momentum, Structure, VWAP",-6.33,6.33,306.63,348.07,334.25,VERY_HIGH,20812726.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,49.87,WATCH,WATCH
1349,KESORAMIND,2026-08-28,11.3,Bearish,46.69,45.95,-4,30,4/10,Low,42.2,0.29,2.58,4.17,11.67,11.65,14.85,-0.1301,0.0226,0.52,43.33,12.6,-10.3,1.71,0.143,1.71,-1.74,-3.42,-9.74,0.0,,11.11,10.89,11.11,11.58,10.89,47.5,47.37,2.36,-2.29,0.17,27.76,19.87,2.79,-3.35,58.01,38,16,13,38.46,1.02,61.54,4.33,76.92,3.12,46.15,-1.07,30.77,-2.5,STRONG,66.27,POSITIVE,No strong driver,"Trend, Momentum, VWAP",-3.88,-0.9,10.86,11.2,12.6,MODERATE,5398649.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,49.86,WATCH,WATCH
