POSITION_RANK,SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE,IN_NEXT_DAY,IN_SWING,OVERLAP,POSITION_SCORE,TRADE_MODE,POSITION_ACTION
474,HINDPETRO,2026-08-28,364.0,Bearish,49.27,47.43,-5,25,6/10,Medium,36.33,8.04,2.21,4.17,377.06,384.11,397.22,-0.7203,-0.1921,0.58,19.17,382.74,-4.9,1.9,0.045,-1.89,0.21,-2.54,-6.61,-0.27,46.71,376.25,368.9,371.0,381.7,362.25,50.66,44.74,1.77,-1.82,0.17,16.84,9.74,1.9,-2.5,71.06,9,8,9,44.44,0.32,44.44,1.45,77.78,2.45,55.56,2.15,66.67,6.71,STRONG,80.07,STRONG,Liquidity,"Trend, Momentum, Structure",-3.31,-0.77,351.94,361.19,382.74,MODERATE,2081609881.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.53,WATCH,WATCH
475,SRHHYPOLTD,2026-08-28,473.95,Bearish,50.47,48.73,-4,30,5/10,Medium,41.6,13.65,2.88,16.67,482.65,488.21,501.32,-2.2119,0.5286,0.64,35.83,490.24,-3.32,2.65,0.142,1.11,0.17,-4.55,-2.16,0.86,85.51,482.85,466.0,468.75,483.3,466.0,43.68,52.11,2.04,-1.71,0.22,16.84,9.87,1.55,-1.88,85.39,7,8,11,36.36,-0.53,54.55,-0.91,63.64,1.07,81.82,1.72,54.55,2.55,POSITIVE,77.07,STRONG,Delivery,"Trend, Momentum, Structure",-4.32,-1.01,453.47,469.17,490.24,MODERATE,5430736.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.53,WATCH,WATCH
476,NAHARSPING,2026-08-28,288.4,Bearish,50.65,52.35,-5,25,5/10,Medium,45.49,11.79,4.09,50.83,295.72,285.83,251.2,-2.874,-0.2025,0.2,6.67,309.85,-6.92,2.35,0.078,-0.98,-3.8,-4.5,2.6,0.0,79.15,298.5,290.0,291.25,305.05,290.0,44.47,50.79,2.18,-1.83,0.33,21.97,9.08,1.84,-2.07,83.46,7,8,20,55.0,0.75,65.0,1.22,65.0,2.79,75.0,7.72,85.0,8.35,STRONG,84.0,STRONG,No strong driver,"Momentum, Structure, VWAP",-6.13,-1.43,270.72,284.27,309.85,HIGH,21616368.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.4,WATCH,WATCH
477,PRIVISCL,2026-08-28,3458.0,Neutral-Range,49.72,56.1,-3,35,5/10,Medium,39.8,76.3,2.21,1.67,3509.48,3516.43,3188.68,-6.7473,2.6236,0.36,7.5,3534.93,-2.18,2.53,0.169,0.04,-0.62,-0.69,-4.4,-0.19,63.57,3489.0,3450.0,3456.6,3510.0,3420.2,49.34,46.32,1.78,-1.54,0.2,15.39,5.66,1.51,-2.22,88.94,9,9,28,42.86,0.03,42.86,-0.39,39.29,-0.28,78.57,3.34,96.43,5.99,NEGATIVE,68.49,POSITIVE,Delivery + Liquidity,"Trend, Momentum, Structure",-2.21,2.21,3381.7,3534.3,3456.6,MODERATE,212053537.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.37,WATCH,WATCH
478,NUVAMA,2026-08-28,1805.0,Bullish,67.83,63.75,8,90,8/10,Medium,57.69,56.83,3.15,9.17,1755.63,1743.71,2491.4,12.7049,1.7715,0.74,46.67,1708.17,5.67,2.41,0.866,1.18,3.52,8.08,0.07,0.0,52.22,1793.0,1758.0,1784.0,1793.0,1702.1,49.2,46.68,2.24,-2.15,0.14,17.02,8.51,1.98,-3.75,83.02,10,8,11,54.55,0.31,63.64,0.61,72.73,1.27,27.27,-1.39,63.64,3.38,STRONG,49.52,MIXED,Trend + Momentum + Structure + VWAP,None material,1.1,4.72,1824.89,1890.25,1708.17,HIGH,565406708.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.35,WATCH,WATCH
479,KAYNES,2026-08-28,3943.1,Bullish,63.11,58.09,4,70,5/10,Medium,61.48,138.31,3.51,15.0,3796.08,3631.93,3975.01,8.7504,-4.7888,0.52,19.17,3828.09,3.0,3.07,0.7,-1.88,1.37,7.73,3.64,0.41,28.19,4113.2,4004.0,4018.8,4117.9,3798.0,48.55,47.24,2.33,-2.11,0.37,18.68,8.16,2.2,-2.56,82.94,7,7,20,55.0,0.44,40.0,-0.01,50.0,0.19,60.0,1.87,50.0,1.04,MIXED,61.74,POSITIVE,Trend + Momentum + VWAP + RSI,Structure,1.23,5.26,3991.51,4150.56,3828.09,HIGH,4931071401.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.3,WATCH,WATCH
480,RISHABH,2026-08-28,691.6,Bullish,63.96,60.52,5,75,5/10,Medium,58.27,32.68,4.73,28.33,671.87,637.23,517.11,0.3335,-0.3097,0.46,27.5,679.7,1.75,4.16,0.659,0.16,3.33,6.62,13.27,0.64,46.47,704.95,686.05,690.5,722.1,657.05,44.21,51.05,2.42,-1.9,0.3,20.79,10.53,1.93,-2.17,86.76,9,8,17,41.18,-0.18,52.94,1.06,52.94,2.15,41.18,0.3,52.94,1.45,MIXED,57.74,POSITIVE,Trend + Momentum + VWAP + RSI,None material,1.65,7.09,703.04,740.62,679.7,HIGH,269114701.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.28,WATCH,WATCH
481,TEAMLEASE,2026-08-28,1272.7,Bullish,61.5,58.86,5,75,5/10,Medium,49.93,30.95,2.43,30.0,1262.03,1299.54,1421.93,7.1636,1.665,0.81,58.33,1250.04,1.81,3.75,0.735,1.6,2.21,1.41,3.06,0.58,59.01,1263.9,1229.7,1252.7,1263.9,1224.8,45.26,50.13,1.42,-1.43,0.23,10.26,5.39,1.72,-1.74,90.31,10,12,100,52.0,0.15,49.0,-0.05,48.0,-0.11,54.0,0.11,48.0,-0.13,MIXED,50.7,MIXED,Momentum + Structure + VWAP + MACD,None material,0.85,3.65,1283.53,1319.13,1229.7,MODERATE,25667722.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.28,WATCH,WATCH
482,THERMAX,2026-08-28,3944.2,Bearish,50.57,52.09,-5,25,6/10,Medium,36.08,125.28,3.18,0.83,4082.93,4261.1,3972.29,11.8496,-0.4034,0.19,3.33,4057.45,-2.79,1.63,0.026,-0.47,-0.59,-2.49,-8.4,0.91,58.37,4029.9,3954.0,3962.7,4063.4,3941.0,47.5,48.16,1.83,-1.65,0.19,12.76,6.18,1.78,-2.37,84.19,8,7,12,66.67,0.73,91.67,1.49,83.33,2.13,75.0,1.21,50.0,0.06,STRONG,83.78,STRONG,Liquidity,"Trend, Momentum, Structure",-4.76,-1.11,3756.27,3900.35,4057.45,HIGH,769030989.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.24,WATCH,WATCH
483,PRIMESECU,2026-08-28,287.85,Bullish,62.63,59.22,4,70,5/10,Medium,55.06,9.7,3.37,15.83,282.37,282.88,280.96,-0.0265,0.6213,0.31,25.83,289.39,-0.53,5.7,0.369,2.84,4.05,2.09,3.95,0.52,83.31,284.05,275.2,279.9,284.05,272.0,49.34,46.45,1.92,-1.79,0.07,16.58,13.16,1.91,-1.85,93.25,9,7,10,50.0,-0.28,50.0,-0.55,60.0,-0.3,50.0,2.02,60.0,1.65,MIXED,60.38,POSITIVE,Trend + Momentum + Structure + RSI,VWAP,1.18,5.06,291.25,302.41,275.2,HIGH,12762606.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.15,WATCH,WATCH
484,SWARAJENG,2026-08-28,3544.8,Bearish,46.23,44.27,-6,20,6/10,Medium,34.14,48.39,1.37,0.83,3592.09,3658.83,3724.86,0.4183,-0.1898,0.63,45.83,3595.91,-1.42,0.7,0.077,-0.1,-0.7,-2.57,-2.31,0.1,61.17,3576.8,3535.0,3548.3,3596.0,3535.0,48.03,47.76,1.5,-1.31,0.29,13.03,4.61,1.8,-1.78,87.29,11,10,100,51.0,0.24,62.0,0.8,66.0,1.59,65.0,2.65,61.0,4.01,STRONG,77.81,STRONG,No strong driver,"Trend, Momentum, Structure",-2.05,-0.48,3472.22,3527.86,3595.91,LOW,18952413.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.1,WATCH,WATCH
485,PAGEIND,2026-08-28,35985.0,Bearish,48.74,52.98,-4,30,5/10,Medium,37.14,883.13,2.45,14.17,37015.55,38193.73,38177.74,-78.9181,84.7574,0.39,10.83,36830.97,-2.3,1.33,0.159,0.52,1.42,-2.08,-10.87,0.0,45.37,36215.0,35160.0,35800.0,36215.0,35100.0,46.84,48.95,1.16,-1.12,0.1,3.68,2.89,1.79,-1.86,82.98,8,7,9,55.56,0.58,66.67,0.22,55.56,0.29,77.78,2.32,66.67,3.02,POSITIVE,72.11,STRONG,Liquidity,"Trend, Momentum, Structure",-3.68,-0.86,34660.3,35675.9,36830.97,MODERATE,1223210026.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.04,WATCH,WATCH
486,INOXINDIA,2026-08-28,2126.2,Bullish,65.11,61.08,6,80,6/10,Medium,65.05,89.26,4.2,28.33,1973.0,1902.83,1565.82,17.6265,6.5127,1.89,84.17,2092.62,1.6,7.01,0.681,-2.37,10.15,9.43,11.44,-0.13,16.42,2224.0,1916.9,2177.9,2224.0,1880.3,47.1,48.84,1.9,-1.53,0.11,10.58,8.41,1.88,-2.15,87.84,8,7,84,34.52,0.11,41.67,0.07,44.05,0.59,44.05,1.6,53.57,3.03,MIXED,54.59,MIXED,Trend + Momentum + VWAP + RSI,None material,1.47,6.3,2157.44,2260.09,1916.9,HIGH,813391150.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.0,WATCH,WATCH
487,CHALET,2026-08-28,901.2,Bullish,60.42,61.53,5,75,5/10,Medium,66.05,25.98,2.88,24.17,862.19,838.83,828.95,7.2188,-0.6145,1.11,79.17,873.75,3.14,3.33,0.796,-1.0,4.55,9.22,11.07,-0.47,36.51,913.15,890.5,910.3,923.95,846.05,46.05,49.61,1.7,-1.41,0.14,9.87,7.11,1.83,-1.91,88.76,7,11,100,46.0,0.14,46.0,-0.04,52.0,0.06,48.0,-0.65,36.0,-0.98,MIXED,47.64,MIXED,Trend + Momentum + VWAP + RSI,None material,1.01,4.32,910.29,940.18,873.75,MODERATE,160212819.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,54.0,WATCH,WATCH
488,STARCEMENT,2026-08-28,187.79,Bearish,48.72,47.46,-5,25,6/10,Medium,22.14,4.4,2.34,35.0,196.49,202.15,214.17,-0.8375,-0.1146,1.41,82.5,196.61,-4.49,3.54,0.115,-0.47,-3.51,-6.13,-7.39,1.22,43.42,192.6,186.0,188.68,196.2,186.0,44.47,51.05,1.63,-1.33,0.16,11.71,7.37,1.79,-2.22,89.45,7,8,100,48.0,0.22,54.0,0.71,65.0,1.49,70.0,2.57,67.0,2.94,STRONG,78.49,STRONG,Gap,"Trend, Momentum, Volume",-3.52,-0.82,181.19,186.25,196.61,MODERATE,46838157.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.98,WATCH,WATCH
489,VADILALIND,2026-08-28,7900.0,Bullish,62.91,62.99,5,75,5/10,Medium,71.35,276.06,3.49,42.5,7378.53,6891.54,5733.2,-12.7798,29.5967,1.07,72.5,7591.69,4.06,8.53,0.602,6.12,6.5,1.95,9.5,-0.46,40.69,7480.0,7401.0,7444.5,7551.0,7335.0,45.53,50.13,2.23,-1.66,0.24,18.16,7.89,1.92,-2.42,90.88,7,9,100,48.0,0.32,49.0,0.1,51.0,0.52,51.0,0.49,52.0,1.43,MIXED,54.74,MIXED,Trend + Momentum + Structure + VWAP,None material,1.22,5.24,7996.62,8314.09,7401.0,HIGH,305235572.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.96,WATCH,WATCH
490,REFEX,2026-08-28,287.55,Bearish,50.85,49.99,-5,25,5/10,Medium,39.3,10.52,3.66,2.5,297.43,303.97,300.38,0.219,-0.1463,0.61,40.0,296.41,-2.99,2.33,0.093,-0.64,-2.18,-3.26,-5.04,0.31,48.41,296.15,286.5,289.4,299.5,285.1,44.61,50.79,2.76,-2.34,0.24,25.26,11.71,2.19,-3.79,80.63,7,8,12,66.67,1.28,75.0,2.12,75.0,3.28,66.67,3.51,50.0,1.5,STRONG,84.58,STRONG,No strong driver,"Trend, Momentum, Structure",-5.49,-1.28,271.76,283.87,296.41,HIGH,95563417.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.9,WATCH,WATCH
491,ITI,2026-08-28,275.5,Bearish,46.9,47.85,-6,20,6/10,Medium,39.55,6.65,2.41,0.83,279.66,283.84,290.06,-0.1287,-0.091,0.52,65.0,282.1,-2.34,1.8,0.067,0.11,-1.34,-0.45,-0.43,0.27,24.57,278.8,274.6,275.2,281.85,274.6,42.76,52.89,2.57,-1.89,0.29,14.21,8.29,2.19,-2.26,75.24,7,6,18,50.0,0.53,44.44,0.67,55.56,1.04,72.22,5.9,88.89,11.89,POSITIVE,79.72,STRONG,No strong driver,"Trend, Momentum, Structure",-3.62,-0.84,265.52,273.17,282.1,MODERATE,95427998.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.86,WATCH,WATCH
492,GOLDIAM,2026-08-28,348.55,Bearish,48.76,51.42,-6,20,7/10,Medium,37.44,14.51,4.16,0.83,363.28,377.31,376.58,-0.2347,-0.4975,0.27,5.83,370.4,-5.9,2.76,0.047,-1.19,-3.27,-4.68,-7.23,0.64,50.3,360.05,350.1,352.75,366.5,350.1,43.95,51.71,2.94,-2.12,0.28,16.58,9.74,2.18,-2.46,85.9,7,13,10,70.0,0.44,80.0,0.28,80.0,0.24,80.0,3.27,70.0,7.32,STRONG,85.04,STRONG,Liquidity,"Trend, Momentum, Structure",-6.24,-1.46,326.79,343.47,370.4,HIGH,460354912.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.81,WATCH,WATCH
493,RAMRAT,2026-08-28,591.9,Bullish,65.85,63.29,7,85,7/10,Medium,82.63,24.18,4.08,10.0,490.41,455.18,442.19,10.4119,3.3014,2.54,92.5,523.42,13.08,7.08,0.943,3.92,24.0,24.6,31.97,0.16,25.0,580.5,526.0,569.6,580.5,475.0,49.08,46.71,2.09,-1.87,0.26,20.26,10.39,2.12,-2.55,88.78,8,9,10,70.0,-0.39,80.0,0.54,50.0,1.26,50.0,-1.19,50.0,0.74,MIXED,50.28,MIXED,Trend + Momentum + Volume + Structure,None material,1.43,6.13,600.36,628.17,523.42,HIGH,271842621.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.81,WATCH,WATCH
494,CEATLTD,2026-08-28,3511.5,Bearish,47.13,52.14,-5,25,6/10,Medium,43.87,86.27,2.46,1.67,3582.24,3563.15,3538.12,-17.5462,-0.6441,0.45,23.33,3651.33,-3.83,1.54,0.162,0.03,-1.46,-4.81,2.38,0.11,41.93,3599.1,3500.0,3510.6,3633.8,3500.0,46.84,48.82,1.79,-1.53,0.22,12.5,6.84,1.91,-2.63,80.47,9,8,21,61.9,0.23,57.14,0.44,47.62,1.07,85.71,2.0,71.43,2.6,MIXED,73.95,STRONG,Liquidity,"Trend, Momentum, Structure",-3.69,-0.86,3382.1,3481.31,3651.33,MODERATE,267997658.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.77,WATCH,WATCH
495,MAHABANK,2026-08-28,83.8,Bullish,58.79,60.84,4,70,5/10,Medium,58.31,2.16,2.58,11.67,81.58,81.4,74.16,0.6433,-0.0374,0.74,46.67,81.77,2.49,2.29,0.673,-1.05,4.41,4.59,5.63,0.24,49.92,86.19,84.05,84.69,87.0,79.85,45.79,49.47,1.94,-1.57,0.19,10.39,6.84,1.9,-2.69,72.94,7,7,100,39.0,-0.23,45.0,-0.16,44.0,-0.01,48.0,0.56,50.0,1.27,NEGATIVE,49.4,MIXED,Trend + Momentum + VWAP + RSI,Structure,0.9,3.87,84.56,87.05,81.77,MODERATE,1092082960.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.74,WATCH,WATCH
496,LEMONTREE,2026-08-28,108.53,Neutral-Range,56.61,51.84,1,55,5/10,Medium,43.7,2.31,2.13,4.17,109.43,111.27,121.59,0.0815,0.0362,2.9,98.33,109.74,-1.1,3.42,0.323,0.78,0.18,-0.36,-0.7,-2.03,56.03,109.53,107.26,107.69,110.5,107.26,46.18,48.68,1.67,-1.57,0.31,14.21,6.05,1.83,-2.07,81.16,7,8,58,44.83,0.04,53.45,0.77,62.07,1.22,55.17,0.39,56.9,1.38,POSITIVE,62.47,POSITIVE,Momentum + Volume + MACD + Delivery,"Trend, VWAP, RSI",-2.13,2.13,106.22,110.84,107.69,MODERATE,346951016.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.65,WATCH,WATCH
497,BANKBETF,2026-08-28,58.49,Bearish,44.08,49.95,-6,20,6/10,Medium,50.38,0.79,1.35,7.5,58.5,58.21,57.51,-0.0147,-0.0036,1.4,76.67,58.79,-0.51,0.72,0.445,-0.14,-0.17,-0.09,0.69,0.0,97.87,60.0,58.5,58.57,60.0,58.17,50.98,44.8,0.72,-0.72,0.39,20.36,5.13,1.9,-2.0,91.66,8,7,100,52.0,0.13,59.0,0.25,69.0,0.72,69.0,1.37,66.0,1.06,STRONG,71.66,STRONG,No strong driver,"Momentum, Volume, Structure",-2.03,-0.47,57.3,58.21,60.0,LOW,10345091.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.62,WATCH,WATCH
498,DEEPAKNTR,2026-08-28,1762.9,Bullish,60.23,60.91,5,75,5/10,Medium,55.56,50.41,2.86,3.33,1741.06,1708.74,1692.8,-2.0735,0.134,0.32,5.83,1754.9,0.46,2.0,0.548,0.58,0.9,2.3,6.06,0.0,50.75,1787.0,1738.2,1752.8,1800.9,1707.2,47.89,47.89,1.37,-1.41,0.09,5.92,5.53,2.07,-2.31,83.13,8,10,100,57.0,-0.06,48.0,0.14,46.0,-0.07,46.0,0.04,40.0,-0.3,MIXED,47.08,MIXED,Trend + Momentum + RSI + Delivery,None material,1.0,4.29,1780.54,1838.51,1738.2,MODERATE,1032774018.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.61,WATCH,WATCH
499,HDFCBSE500,2026-08-28,37.87,Bearish,46.55,52.05,-4,30,5/10,Medium,50.24,0.65,1.7,1.67,37.92,37.61,36.99,-0.0493,-0.003,0.34,11.67,38.19,-0.84,1.88,0.161,0.03,-0.05,-0.53,0.19,-1.06,90.56,38.12,37.84,37.86,38.49,37.64,52.89,41.05,0.7,-0.78,0.53,27.24,6.18,1.8,-1.7,97.39,9,6,100,51.0,0.11,60.0,0.26,63.0,0.51,66.0,0.92,71.0,1.0,POSITIVE,65.87,POSITIVE,Delivery,"Momentum, Structure, VWAP",-2.56,-0.6,36.9,37.64,38.19,LOW,40551327.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.55,WATCH,WATCH
500,TATACHEM,2026-08-28,655.75,Bullish,59.69,57.16,4,70,5/10,Medium,47.04,16.67,2.54,13.33,654.24,677.59,734.54,1.0184,1.7434,2.02,89.17,661.43,-0.86,4.7,0.374,1.8,4.63,-2.22,-2.64,0.12,31.4,647.35,635.0,644.15,647.35,624.0,44.74,50.92,1.41,-1.33,0.15,7.5,5.66,2.04,-2.58,78.67,7,13,100,50.0,0.33,58.0,0.39,52.0,0.07,47.0,0.51,50.0,0.47,MIXED,51.97,MIXED,Momentum + Volume + Structure + MACD,VWAP,0.89,3.81,661.58,680.75,635.0,MODERATE,472430720.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.55,WATCH,WATCH
501,HNGSNGBEES,2026-08-28,473.21,Neutral-Range,50.85,49.53,-3,35,5/10,Medium,39.74,9.96,2.11,5.0,480.07,485.77,493.1,-1.1132,0.087,0.64,20.0,482.17,-1.86,1.43,0.174,0.15,-2.07,-1.96,-4.9,1.0,60.43,487.75,470.86,472.5,487.75,464.95,49.08,46.32,1.34,-1.22,0.5,29.47,7.11,1.94,-2.67,86.64,9,6,89,56.18,0.2,61.8,0.64,66.29,0.89,67.42,1.59,65.17,1.56,STRONG,71.72,STRONG,Gap + Delivery,"Trend, Momentum, Structure",-2.11,2.11,463.25,483.17,472.5,MODERATE,50143305.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.54,WATCH,WATCH
502,GLAND,2026-08-28,2888.0,Neutral-Range,57.4,59.46,3,65,5/10,Medium,64.47,85.27,2.95,2.5,2783.18,2599.7,2165.31,-8.1552,-0.2954,0.19,2.5,2856.06,1.12,1.67,0.722,0.5,2.44,-2.77,15.39,0.0,58.69,2924.4,2855.6,2873.5,2924.4,2776.1,45.92,49.87,1.55,-1.24,0.21,11.58,6.58,2.18,-2.16,89.1,6,9,100,55.0,0.41,49.0,0.61,43.0,0.62,48.0,0.63,51.0,1.36,MIXED,51.85,MIXED,Trend + VWAP + RSI + Delivery,"Momentum, MACD",-2.95,2.95,2802.73,2973.27,2873.5,MODERATE,2487894978.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.52,WATCH,WATCH
503,JSL,2026-08-28,705.15,Neutral-Range,50.8,49.52,-3,35,5/10,Medium,41.46,15.34,2.17,1.67,718.68,720.85,732.14,-3.6046,0.3521,0.84,50.0,728.54,-3.21,1.5,0.143,0.02,0.54,-4.43,-4.04,-0.14,53.53,714.0,702.05,705.0,720.0,696.65,50.26,45.26,1.66,-1.7,0.15,11.05,6.45,1.71,-2.44,81.32,11,8,100,54.0,0.13,55.0,0.56,60.0,0.88,68.0,2.06,71.0,3.28,POSITIVE,71.56,STRONG,Delivery + Liquidity,"Trend, Momentum, Structure",-2.17,2.17,689.81,720.49,705.0,MODERATE,268076261.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.49,WATCH,WATCH
504,JAYNECOIND,2026-08-28,99.1,Bullish,61.75,59.84,4,70,5/10,Medium,59.46,3.88,3.91,12.5,95.14,92.71,84.99,0.9749,-0.2982,0.84,47.5,96.04,3.19,4.74,0.68,-1.97,-0.79,11.44,15.19,0.0,48.6,103.62,100.67,101.09,105.17,93.78,45.66,49.74,2.84,-2.25,0.47,30.53,11.18,2.17,-2.48,86.08,6,8,100,39.0,-0.04,48.0,0.66,46.0,0.79,49.0,1.61,45.0,2.71,MIXED,57.85,POSITIVE,Trend + Momentum + VWAP + RSI,Structure,1.37,5.87,100.46,104.92,96.04,HIGH,462929722.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.44,WATCH,WATCH
505,MANGLMCEM,2026-08-28,1062.9,Bullish,64.02,62.79,6,80,6/10,Medium,73.22,36.57,3.44,64.17,980.83,947.88,873.14,16.7075,-0.4363,0.44,29.17,995.96,6.72,3.18,0.884,0.44,3.4,18.58,11.83,2.44,63.54,1089.4,1046.6,1058.2,1089.4,980.05,49.61,46.05,1.8,-1.58,0.11,13.03,8.82,1.71,-2.21,90.61,7,7,100,49.0,0.11,54.0,0.34,53.0,0.58,43.0,0.14,47.0,-0.4,MIXED,51.48,MIXED,Trend + Structure + VWAP + Gap,None material,1.2,5.16,1075.7,1117.76,995.96,HIGH,232633800.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.41,WATCH,WATCH
506,VENKEYS,2026-08-28,1571.9,Bullish,61.16,61.46,4,70,5/10,Medium,58.58,51.42,3.27,27.5,1543.16,1514.54,1487.18,2.8594,-0.2992,0.15,0.83,1546.96,1.61,1.42,0.487,-0.23,4.28,2.87,4.84,0.47,50.74,1621.3,1565.1,1575.6,1621.3,1502.1,44.34,51.32,1.48,-1.3,0.23,10.0,3.68,1.68,-2.1,87.88,7,8,100,48.0,0.06,54.0,0.2,59.0,0.39,48.0,0.54,47.0,0.24,POSITIVE,56.17,MIXED,Trend + Momentum + VWAP + RSI,Delivery,1.14,4.91,1589.9,1649.03,1546.96,HIGH,150820475.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.33,WATCH,WATCH
507,NIFTYETF,2026-08-28,262.96,Bearish,46.33,51.95,-4,30,5/10,Medium,46.09,3.35,1.27,28.33,264.15,263.01,263.51,-0.4208,-0.0042,0.36,18.33,265.61,-1.0,1.3,0.477,0.03,-0.46,-1.03,-0.94,-1.0,42.62,265.9,261.91,262.89,266.09,257.4,50.66,45.13,0.58,-0.59,0.37,13.95,4.47,2.08,-2.28,94.0,8,7,15,26.67,-0.25,53.33,0.22,66.67,0.42,66.67,0.47,66.67,0.43,STRONG,65.23,POSITIVE,Liquidity,"Trend, Momentum, VWAP",-1.91,-0.45,257.93,261.79,265.9,LOW,115195415.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.29,WATCH,WATCH
508,NLCINDIA,2026-08-28,270.6,Neutral-Range,50.34,50.32,-3,35,5/10,Medium,35.8,7.14,2.64,2.5,279.19,291.87,286.71,-0.0545,0.2798,0.5,25.83,283.15,-4.43,1.36,0.164,0.67,0.3,-1.74,-9.16,0.04,55.65,272.7,268.0,268.8,276.8,268.0,45.26,50.53,2.26,-1.77,0.22,12.89,7.63,2.1,-2.5,82.9,7,8,100,51.0,0.6,60.0,0.96,60.0,1.48,59.0,1.92,50.0,1.3,POSITIVE,70.25,STRONG,Delivery + Liquidity,"Trend, Momentum, Structure",-2.64,2.64,263.46,277.74,268.8,MODERATE,520778462.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,53.26,WATCH,WATCH
